qSwat3_00192_avg_bsub	rSwat3_00192_avg_bsub	sSwat3_00192_avg_bsub
0	0.02175547	0.004388590589717587
0.00025	0	0
0.0005	0	0
0.00075	0	0
0.001	0	0
0.00125	0	0
0.0015	0	0
0.00175	0	0
0.002	0	0
0.00225	0	0
0.0025	0	0
0.00275	0	0
0.003	0.06753228999999994	0.2945011839981134
0.00325	0.03842258999999992	0.1826326678814231
0.0035	0.06084526999999995	0.1051250485276343
0.00375	0.01870142799999996	0.07388604335529358
0.004	0.035747694	0.05687875747094484
0.00425	0.03464558000000006	0.03675282358546024
0.0045	0.03385643300000002	0.03079541593673776
0.00475	0.02295866300000005	0.02336516604745414
0.005	0.02134008400000004	0.01866129690058545
0.00525	0.01591518700000005	0.01482459777304658
0.0055	0.01961238700000001	0.01140832099316037
0.00575	0.020271385	0.009995651543341203
0.006	0.02245982699999999	0.008367843048709446
0.00625	0.022236066	0.006760190105992274
0.0065	0.02354660600000003	0.006348004381942926
0.00675	0.02034037600000001	0.005214765710599849
0.007	0.019392437	0.004895994304001064
0.00725	0.0226421326	0.004404424784406945
0.0075	0.0174824744	0.003761876444553726
0.00775	0.0220189823	0.003596093949125589
0.008	0.01812225119999999	0.003167488480045756
0.00825	0.0181011459	0.002965000045397115
0.008500000000000001	0.0186512695	0.002812366453281287
0.008750000000000001	0.02198026209999999	0.002525612585056384
0.008999999999999999	0.0207361127	0.002447699089000975
0.00925	0.0193920477	0.002289733891866107
0.0095	0.0193677199	0.00214726006028291
0.00975	0.019455283	0.002166579366186057
0.01	0.01912239059999999	0.001878098205120497
0.01025	0.0194677651	0.001879466665976971
0.0105	0.0191219255	0.001770691889456992
0.01075	0.0192999255	0.001734243879744582
0.011	0.0187527143	0.001726133612750876
0.01125	0.0191454326	0.001593931158474633
0.0115	0.01847941149999999	0.001587372303853886
0.01175	0.0186583545	0.001513424250698636
0.012	0.0188051232	0.001495046979798206
0.01225	0.0192479806	0.00149145401561928
0.0125	0.0192643453	0.001401281183082384
0.01275	0.0196594994	0.001391099931547754
0.013	0.02021373720000001	0.001403775290090644
0.01325	0.0188224795	0.001322176638830658
0.0135	0.0192114413	0.001344710722198441
0.01375	0.0198378763	0.001295353312525497
0.014	0.0196394976	0.001272073248184475
0.01425	0.0186208319	0.001254517974208332
0.0145	0.0200555994	0.001196358033345508
0.01475	0.0189420016	0.001220019127252948
0.015	0.019622811	0.001157333158897493
0.01525	0.0179151088	0.001157465541847686
0.0155	0.0188739454	0.001158365409476615
0.01575	0.0187404849	0.001122559572215265
0.016	0.018188604	0.001137801439114805
0.01625	0.0191610719	0.00111149622715661
0.0165	0.0180949175	0.001059880213028128
0.01675	0.0182977367	0.001082048619005837
0.017	0.0190351344	0.00106869072273504
0.01725	0.0188599586	0.001049330262253328
0.0175	0.018797586	0.001048393259836707
0.01775	0.0191356307	0.001003572756365603
0.018	0.0189216413	0.001028957942306278
0.01825	0.0198828	0.0010038268664068
0.0185	0.0188952013	0.001014722105247523
0.01875	0.0194411827	0.000991197784190787
0.019	0.0189930353	0.0009422669837166478
0.01925	0.0200089198	0.0009802272177538967
0.0195	0.0190726476	0.0009547892721206643
0.01975	0.0193104321	0.0009695354563580413
0.02	0.0184747602	0.0009410531107028964
0.02025	0.0190527069	0.0009076038937189821
0.0205	0.0190543022	0.0009298871095842193
0.02075	0.0191664838	0.0009376749731282029
0.021	0.0189006918	0.0009116218998437678
0.02125	0.0192249235	0.0009108085083273551
0.0215	0.0191079865	0.0008763905379527132
0.02175	0.0191057146	0.0009005622918368181
0.022	0.0197715668	0.0008733561489537977
0.02225	0.0191589486	0.0008725229796051656
0.0225	0.0190421066	0.0008957344758960308
0.02275	0.0200291832	0.0008618320076702535
0.023	0.0185721672	0.0008842248065269117
0.02325	0.0193783497	0.0008898861248060384
0.0235	0.0189787185	0.0008719317094054995
0.02375	0.0199417804	0.000888394341698375
0.024	0.0192024853	0.0008620822606628711
0.02425	0.0194486652	0.0008723251931981227
0.0245	0.0185308975	0.0008859116316479355
0.02475	0.0187229039	0.0008674935669816372
0.025	0.0194001238	0.0008773869630885492
0.02525	0.0191221444	0.00086816838595735
0.0255	0.0188422591	0.000861201380892849
0.02575	0.0197009424	0.0008849103575527264
0.026	0.0189082065	0.0008497648609941085
0.02625	0.0185990359	0.0008716303333428724
0.0265	0.0189353057	0.0008525898535761722
0.02675	0.0192342616	0.0008501798219732524
0.027	0.019846561	0.0008666016926335659
0.02725	0.019380686	0.0008360062378329736
0.0275	0.0185121227	0.0008454759156693958
0.02775	0.0193286705	0.0008408562108767994
0.028	0.0186040748	0.0008335761762610328
0.02825	0.01931091	0.0008474267983713515
0.0285	0.0191968385	0.0008319751713555976
0.02875	0.0193626029	0.0008360149167390109
0.029	0.0193096146	0.0008281076816295587
0.02925	0.0186183887	0.0008218820182824038
0.0295	0.0194116201	0.0008437855914077401
0.02975	0.0195158442	0.000824634298038796
0.03	0.0196121958	0.0008433893455422146
0.03025	0.018896309	0.0008249140366155523
0.0305	0.019256528	0.0008078353722642934
0.03075	0.019242621	0.0008217511628925937
0.031	0.018561355	0.000800338743538084
0.03125	0.0189708471	0.0008152308012401299
0.0315	0.0190001677	0.0007989230889325622
0.03175	0.0198031841	0.0008040099291908577
0.032	0.0187453164	0.0008054048307638283
0.03225	0.019045789	0.0007995593937234051
0.0325	0.0182698326	0.0007910358498346574
0.03275	0.0189377945	0.0007994224330870385
0.033	0.0191990511	0.0007801079131429
0.03325	0.0193135858	0.0008000285518440943
0.0335	0.0196082738	0.0007935631225642435
0.03375	0.0181086875	0.0007836520594817034
0.034	0.0190660253	0.0007941359389358114
0.03425	0.0189623321	0.0007714904628412113
0.0345	0.0190717646	0.0007952161771315201
0.03475	0.0196996195	0.0007929997646022935
0.035	0.0185769331	0.0007779511619486241
0.03525	0.0194300223	0.0007787640606070382
0.0355	0.0192921407	0.000771303449156942
0.03575	0.018704802	0.0007778676649251036
0.036	0.0188700053	0.0007715474028383838
0.03625	0.0196787834	0.0007768503572349544
0.0365	0.0191900909	0.0007639433382994552
0.03675	0.0196194407	0.0007666143644019382
0.037	0.0186362281	0.0007596209939627582
0.03725	0.018520065	0.0007777552178075449
0.0375	0.0188676203	0.0007544998243930975
0.03775	0.0185571273	0.0007460089777031873
